0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5717e-05-5.5464e-06i,1.5545e-05-5.6116e-06i,1.5033e-05-5.8056e-06i,1.4195e-05-6.1234e-06i,1.3053e-05-6.5566e-06i,1.1636e-05-7.0941e-06i,9.9802e-06-7.722e-06i,8.1293e-06-8.4241e-06i,6.1309e-06-9.182e-06i,4.0368e-06-9.9762e-06i,1.9012e-06-1.0786e-05i,-2.2051e-07-1.1591e-05i,-2.2734e-06-1.2369e-05i,-4.2044e-06-1.3102e-05i,-5.9633e-06-1.3769e-05i,-7.5047e-06-1.4354e-05i,-8.7887e-06-1.4841e-05i,-9.782e-06-1.5217e-05i,-1.0459e-05-1.5474e-05i,-1.0802e-05-1.5604e-05i,-1.0802e-05-1.5604e-05i,-1.0459e-05-1.5474e-05i,-9.782e-06-1.5217e-05i,-8.7887e-06-1.4841e-05i,-7.5047e-06-1.4354e-05i,-5.9633e-06-1.3769e-05i,-4.2044e-06-1.3102e-05i,-2.2734e-06-1.2369e-05i,-2.2051e-07-1.1591e-05i,1.9012e-06-1.0786e-05i,4.0368e-06-9.9762e-06i,6.1309e-06-9.182e-06i,8.1293e-06-8.4241e-06i,9.9802e-06-7.722e-06i,1.1636e-05-7.0941e-06i,1.3053e-05-6.5566e-06i,1.4195e-05-6.1234e-06i,1.5033e-05-5.8056e-06i,1.5545e-05-5.6116e-06i,1.5717e-05-5.5464e-06i
3.081e-05-1.1041e-05i,3.0473e-05-1.1171e-05i,2.9474e-05-1.1559e-05i,2.7837e-05-1.2193e-05i,2.5604e-05-1.3058e-05i,2.2835e-05-1.4131e-05i,1.9599e-05-1.5385e-05i,1.5982e-05-1.6787e-05i,1.2077e-05-1.83e-05i,7.9845e-06-1.9886e-05i,3.8111e-06-2.1503e-05i,-3.3526e-07-2.311e-05i,-4.3471e-06-2.4664e-05i,-8.1206e-06-2.6127e-05i,-1.1558e-05-2.7459e-05i,-1.457e-05-2.8626e-05i,-1.708e-05-2.9598e-05i,-1.9021e-05-3.035e-05i,-2.0343e-05-3.0863e-05i,-2.1013e-05-3.1123e-05i,-2.1013e-05-3.1123e-05i,-2.0343e-05-3.0863e-05i,-1.9021e-05-3.035e-05i,-1.708e-05-2.9598e-05i,-1.457e-05-2.8626e-05i,-1.1558e-05-2.7459e-05i,-8.1206e-06-2.6127e-05i,-4.3471e-06-2.4664e-05i,-3.3526e-07-2.311e-05i,3.8111e-06-2.1503e-05i,7.9845e-06-1.9886e-05i,1.2077e-05-1.83e-05i,1.5982e-05-1.6787e-05i,1.9599e-05-1.5385e-05i,2.2835e-05-1.4131e-05i,2.5604e-05-1.3058e-05i,2.7837e-05-1.2193e-05i,2.9474e-05-1.1559e-05i,3.0473e-05-1.1171e-05i,3.081e-05-1.1041e-05i
4.469e-05-1.6433e-05i,4.4205e-05-1.6628e-05i,4.2763e-05-1.7207e-05i,4.0401e-05-1.8156e-05i,3.718e-05-1.945e-05i,3.3184e-05-2.1055e-05i,2.8516e-05-2.2931e-05i,2.3297e-05-2.5027e-05i,1.7663e-05-2.7291e-05i,1.1758e-05-2.9663e-05i,5.737e-06-3.2082e-05i,-2.4521e-07-3.4485e-05i,-6.0334e-06-3.681e-05i,-1.1478e-05-3.8997e-05i,-1.6437e-05-4.099e-05i,-2.0783e-05-4.2736e-05i,-2.4403e-05-4.419e-05i,-2.7204e-05-4.5315e-05i,-2.9112e-05-4.6082e-05i,-3.0079e-05-4.647e-05i,-3.0079e-05-4.647e-05i,-2.9112e-05-4.6082e-05i,-2.7204e-05-4.5315e-05i,-2.4403e-05-4.419e-05i,-2.0783e-05-4.2736e-05i,-1.6437e-05-4.099e-05i,-1.1478e-05-3.8997e-05i,-6.0334e-06-3.681e-05i,-2.4521e-07-3.4485e-05i,5.737e-06-3.2082e-05i,1.1758e-05-2.9663e-05i,1.7663e-05-2.7291e-05i,2.3297e-05-2.5027e-05i,2.8516e-05-2.2931e-05i,3.3184e-05-2.1055e-05i,3.718e-05-1.945e-05i,4.0401e-05-1.8156e-05i,4.2763e-05-1.7207e-05i,4.4205e-05-1.6628e-05i,4.469e-05-1.6433e-05i
5.6835e-05-2.1675e-05i,5.6223e-05-2.1934e-05i,5.4403e-05-2.2703e-05i,5.1423e-05-2.3963e-05i,4.7359e-05-2.5681e-05i,4.2317e-05-2.7813e-05i,3.6427e-05-3.0303e-05i,2.9841e-05-3.3087e-05i,2.2732e-05-3.6092e-05i,1.5282e-05-3.9242e-05i,7.6839e-06-4.2454e-05i,1.3555e-07-4.5645e-05i,-7.1681e-06-4.8733e-05i,-1.4038e-05-5.1637e-05i,-2.0296e-05-5.4283e-05i,-2.5779e-05-5.6601e-05i,-3.0347e-05-5.8532e-05i,-3.3881e-05-6.0026e-05i,-3.6289e-05-6.1044e-05i,-3.7509e-05-6.156e-05i,-3.7509e-05-6.156e-05i,-3.6289e-05-6.1044e-05i,-3.3881e-05-6.0026e-05i,-3.0347e-05-5.8532e-05i,-2.5779e-05-5.6601e-05i,-2.0296e-05-5.4283e-05i,-1.4038e-05-5.1637e-05i,-7.1681e-06-4.8733e-05i,1.3555e-07-4.5645e-05i,7.6839e-06-4.2454e-05i,1.5282e-05-3.9242e-05i,2.2732e-05-3.6092e-05i,2.9841e-05-3.3087e-05i,3.6427e-05-3.0303e-05i,4.2317e-05-2.7813e-05i,4.7359e-05-2.5681e-05i,5.1423e-05-2.3963e-05i,5.4403e-05-2.2703e-05i,5.6223e-05-2.1934e-05i,5.6835e-05-2.1675e-05i
6.6817e-05-2.6722e-05i,6.6106e-05-2.7043e-05i,6.3989e-05-2.7999e-05i,6.0523e-05-2.9566e-05i,5.5796e-05-3.1702e-05i,4.9932e-05-3.4352e-05i,4.3082e-05-3.7447e-05i,3.5423e-05-4.0908e-05i,2.7154e-05-4.4645e-05i,1.849e-05-4.856e-05i,9.6533e-06-5.2553e-05i,8.7424e-07-5.652e-05i,-7.6201e-06-6.0359e-05i,-1.561e-05-6.3969e-05i,-2.2888e-05-6.7258e-05i,-2.9266e-05-7.014e-05i,-3.4578e-05-7.2541e-05i,-3.8688e-05-7.4398e-05i,-4.1489e-05-7.5664e-05i,-4.2907e-05-7.6305e-05i,-4.2907e-05-7.6305e-05i,-4.1489e-05-7.5664e-05i,-3.8688e-05-7.4398e-05i,-3.4578e-05-7.2541e-05i,-2.9266e-05-7.014e-05i,-2.2888e-05-6.7258e-05i,-1.561e-05-6.3969e-05i,-7.6201e-06-6.0359e-05i,8.7424e-07-5.652e-05i,9.6533e-06-5.2553e-05i,1.849e-05-4.856e-05i,2.7154e-05-4.4645e-05i,3.5423e-05-4.0908e-05i,4.3082e-05-3.7447e-05i,4.9932e-05-3.4352e-05i,5.5796e-05-3.1702e-05i,6.0523e-05-2.9566e-05i,6.3989e-05-2.7999e-05i,6.6106e-05-2.7043e-05i,6.6817e-05-2.6722e-05i
7.4329e-05-3.1533e-05i,7.3548e-05-3.1916e-05i,7.1227e-05-3.3056e-05i,6.7426e-05-3.4922e-05i,6.2243e-05-3.7467e-05i,5.5812e-05-4.0625e-05i,4.83e-05-4.4314e-05i,3.9902e-05-4.8438e-05i,3.0834e-05-5.289e-05i,2.1332e-05-5.7556e-05i,1.1642e-05-6.2314e-05i,2.0149e-06-6.7041e-05i,-7.3e-06-7.1615e-05i,-1.6062e-05-7.5918e-05i,-2.4043e-05-7.9837e-05i,-3.1037e-05-8.3271e-05i,-3.6863e-05-8.6132e-05i,-4.137e-05-8.8345e-05i,-4.4441e-05-8.9853e-05i,-4.5996e-05-9.0617e-05i,-4.5996e-05-9.0617e-05i,-4.4441e-05-8.9853e-05i,-4.137e-05-8.8345e-05i,-3.6863e-05-8.6132e-05i,-3.1037e-05-8.3271e-05i,-2.4043e-05-7.9837e-05i,-1.6062e-05-7.5918e-05i,-7.3e-06-7.1615e-05i,2.0149e-06-6.7041e-05i,1.1642e-05-6.2314e-05i,2.1332e-05-5.7556e-05i,3.0834e-05-5.289e-05i,3.9902e-05-4.8438e-05i,4.83e-05-4.4314e-05i,5.5812e-05-4.0625e-05i,6.2243e-05-3.7467e-05i,6.7426e-05-3.4922e-05i,7.1227e-05-3.3056e-05i,7.3548e-05-3.1916e-05i,7.4329e-05-3.1533e-05i
7.9194e-05-3.6074e-05i,7.8378e-05-3.6517e-05i,7.5951e-05-3.7835e-05i,7.1976e-05-3.9994e-05i,6.6556e-05-4.2937e-05i,5.9831e-05-4.6589e-05i,5.1976e-05-5.0856e-05i,4.3193e-05-5.5625e-05i,3.3711e-05-6.0775e-05i,2.3775e-05-6.6171e-05i,1.3642e-05-7.1674e-05i,3.5754e-06-7.7141e-05i,-6.1653e-06-8.2431e-05i,-1.5327e-05-8.7406e-05i,-2.3673e-05-9.1939e-05i,-3.0987e-05-9.5911e-05i,-3.7079e-05-9.9219e-05i,-4.1792e-05-0.00010178i,-4.5003e-05-0.00010352i,-4.663e-05-0.00010441i,-4.663e-05-0.00010441i,-4.5003e-05-0.00010352i,-4.1792e-05-0.00010178i,-3.7079e-05-9.9219e-05i,-3.0987e-05-9.5911e-05i,-2.3673e-05-9.1939e-05i,-1.5327e-05-8.7406e-05i,-6.1653e-06-8.2431e-05i,3.5754e-06-7.7141e-05i,1.3642e-05-7.1674e-05i,2.3775e-05-6.6171e-05i,3.3711e-05-6.0775e-05i,4.3193e-05-5.5625e-05i,5.1976e-05-5.0856e-05i,5.9831e-05-4.6589e-05i,6.6556e-05-4.2937e-05i,7.1976e-05-3.9994e-05i,7.5951e-05-3.7835e-05i,7.8378e-05-3.6517e-05i,7.9194e-05-3.6074e-05i
8.1382e-05-4.0315e-05i,8.0563e-05-4.0817e-05i,7.8129e-05-4.2307e-05i,7.4143e-05-4.4748e-05i,6.8707e-05-4.8076e-05i,6.1963e-05-5.2206e-05i,5.4085e-05-5.703e-05i,4.5278e-05-6.2423e-05i,3.5768e-05-6.8246e-05i,2.5804e-05-7.4348e-05i,1.5642e-05-8.0571e-05i,5.5454e-06-8.6753e-05i,-4.2233e-06-9.2735e-05i,-1.3412e-05-9.8361e-05i,-2.1782e-05-0.00010349i,-2.9116e-05-0.00010798i,-3.5226e-05-0.00011172i,-3.9952e-05-0.00011461i,-4.3173e-05-0.00011659i,-4.4804e-05-0.00011758i,-4.4804e-05-0.00011758i,-4.3173e-05-0.00011659i,-3.9952e-05-0.00011461i,-3.5226e-05-0.00011172i,-2.9116e-05-0.00010798i,-2.1782e-05-0.00010349i,-1.3412e-05-9.8361e-05i,-4.2233e-06-9.2735e-05i,5.5454e-06-8.6753e-05i,1.5642e-05-8.0571e-05i,2.5804e-05-7.4348e-05i,3.5768e-05-6.8246e-05i,4.5278e-05-6.2423e-05i,5.4085e-05-5.703e-05i,6.1963e-05-5.2206e-05i,6.8707e-05-4.8076e-05i,7.4143e-05-4.4748e-05i,7.8129e-05-4.2307e-05i,8.0563e-05-4.0817e-05i,8.1382e-05-4.0315e-05i
8.1004e-05-4.4233e-05i,8.0215e-05-4.479e-05i,7.7868e-05-4.6446e-05i,7.4025e-05-4.9157e-05i,6.8784e-05-5.2854e-05i,6.2282e-05-5.7441e-05i,5.4686e-05-6.28e-05i,4.6195e-05-6.879e-05i,3.7026e-05-7.5258e-05i,2.7419e-05-8.2036e-05i,1.7621e-05-8.8948e-05i,7.8872e-06-9.5815e-05i,-1.5312e-06-0.00010246i,-1.039e-05-0.00010871i,-1.846e-05-0.0001144i,-2.5532e-05-0.00011939i,-3.1422e-05-0.00012355i,-3.5979e-05-0.00012676i,-3.9084e-05-0.00012895i,-4.0657e-05-0.00013006i,-4.0657e-05-0.00013006i,-3.9084e-05-0.00012895i,-3.5979e-05-0.00012676i,-3.1422e-05-0.00012355i,-2.5532e-05-0.00011939i,-1.846e-05-0.0001144i,-1.039e-05-0.00010871i,-1.5312e-06-0.00010246i,7.8872e-06-9.5815e-05i,1.7621e-05-8.8948e-05i,2.7419e-05-8.2036e-05i,3.7026e-05-7.5258e-05i,4.6195e-05-6.879e-05i,5.4686e-05-6.28e-05i,6.2282e-05-5.7441e-05i,6.8784e-05-5.2854e-05i,7.4025e-05-4.9157e-05i,7.7868e-05-4.6446e-05i,8.0215e-05-4.479e-05i,8.1004e-05-4.4233e-05i
